Age;IFR
;
1,0;0,0006
1,5;0,0006
2,0;0,0007
2,5;0,0007
3,0;0,0008
3,5;0,0008
4,0;0,0009
4,5;0,0009
5,0;0,0010
5,5;0,0010
6,0;0,0011
6,5;0,0012
7,0;0,0013
7,5;0,0013
8,0;0,0014
8,5;0,0015
9,0;0,0016
9,5;0,0017
10,0;0,0018
10,5;0,0019
11,0;0,0020
11,5;0,0022
12,0;0,0023
12,5;0,0024
13,0;0,0026
13,5;0,0027
14,0;0,0029
14,5;0,0031
15,0;0,0033
15,5;0,0035
16,0;0,0037
16,5;0,0040
17,0;0,0042
17,5;0,0045
18,0;0,0047
18,5;0,0050
19,0;0,0053
19,5;0,0057
20,0;0,0060
20,5;0,0064
21,0;0,0068
21,5;0,0072
22,0;0,0077
22,5;0,0082
23,0;0,0087
23,5;0,0092
24,0;0,0098
24,5;0,0104
25,0;0,0110
25,5;0,0117
26,0;0,0124
26,5;0,0132
27,0;0,0140
27,5;0,0149
28,0;0,0158
28,5;0,0168
29,0;0,0179
29,5;0,0190
30,0;0,0202
30,5;0,0214
31,0;0,0228
31,5;0,0242
32,0;0,0257
32,5;0,0273
33,0;0,0290
33,5;0,0308
34,0;0,0327
34,5;0,0347
35,0;0,0369
35,5;0,0392
36,0;0,0416
36,5;0,0442
37,0;0,0470
37,5;0,0499
38,0;0,0530
38,5;0,0563
39,0;0,0598
39,5;0,0635
40,0;0,0675
40,5;0,0717
41,0;0,0761
41,5;0,0809
42,0;0,0859
42,5;0,0913
43,0;0,0969
43,5;0,1030
44,0;0,1094
44,5;0,1162
45,0;0,1234
45,5;0,1311
46,0;0,1393
46,5;0,1479
47,0;0,1571
47,5;0,1669
48,0;0,1773
48,5;0,1883
49,0;0,2001
49,5;0,2125
50,0;0,2257
50,5;0,2398
51,0;0,2547
51,5;0,2706
52,0;0,2874
52,5;0,3053
53,0;0,3243
53,5;0,3445
54,0;0,3659
54,5;0,3887
55,0;0,4129
55,5;0,4386
56,0;0,4659
56,5;0,4949
57,0;0,5257
57,5;0,5584
58,0;0,5932
58,5;0,6301
59,0;0,6693
59,5;0,7110
60,0;0,7553
60,5;0,8023
61,0;0,8522
61,5;0,9052
62,0;0,9616
62,5;1,0214
63,0;1,0850
63,5;1,1526
64,0;1,2243
64,5;1,3005
65,0;1,3814
65,5;1,4674
66,0;1,5588
66,5;1,6558
67,0;1,7588
67,5;1,8683
68,0;1,9846
68,5;2,1081
69,0;2,2394
69,5;2,3787
70,0;2,5268
70,5;2,6841
71,0;2,8511
71,5;3,0286
72,0;3,2171
72,5;3,4174
73,0;3,6301
73,5;3,8560
74,0;4,0960
74,5;4,3510
75,0;4,6218
75,5;4,9094
76,0;5,2150
76,5;5,5396
77,0;5,8844
77,5;6,2507
78,0;6,6398
78,5;7,0530
79,0;7,4920
79,5;7,9584
80,0;8,4537
80,5;8,9799
81,0;9,5388
81,5;10,1326
82,0;10,7632
82,5;11,4332
83,0;12,1448
83,5;12,9007
84,0;13,7037
84,5;14,5567
85,0;15,4627
85,5;16,4252
86,0;17,4475
86,5;18,5335
87,0;19,6871
87,5;20,9125
88,0;22,2141
88,5;23,5968
89,0;25,0655
89,5;26,6257
90,0;28,2829
90,5;30,0434
91,0;31,9134
91,5;33,8997
92,0;36,0098
92,5;38,2511
93,0;40,6320
93,5;43,1610
94,0;45,8475
94,5;48,7012
95,0;51,7325
95,5;48,578
96,0;51,568
