age,ifr
1,0.0006
2,0.0007
3,0.0008
4,0.0009
5,0.001
6,0.0011
7,0.0013
8,0.0014
9,0.0016
10,0.0018
11,0.002
12,0.0023
13,0.0026
14,0.0029
15,0.0033
16,0.0037
17,0.0042
18,0.0047
19,0.0053
20,0.006
21,0.0068
22,0.0077
23,0.0087
24,0.0098
25,0.011
26,0.0124
27,0.014
28,0.0158
29,0.0179
30,0.0202
31,0.0228
32,0.0257
33,0.029
34,0.0327
35,0.0369
36,0.0416
37,0.047
38,0.053
39,0.0598
40,0.0675
41,0.0761
42,0.0859
43,0.0969
44,0.1094
45,0.1234
46,0.1393
47,0.1571
48,0.1773
49,0.2001
50,0.2257
51,0.2547
52,0.2874
53,0.3243
54,0.3659
55,0.4129
56,0.4659
57,0.5257
58,0.5932
59,0.6693
60,0.7553
61,0.8522
62,0.9616
63,1.085
64,1.2243
65,1.3814
66,1.5588
67,1.7588
68,1.9846
69,2.2394
70,2.5268
71,2.8511
72,3.2171
73,3.6301
74,4.096
75,4.6218
76,5.215
77,5.8844
78,6.6398
79,7.492
80,8.4537
81,9.5388
82,10.7632
83,12.1448
84,13.7037
85,15.4627
86,17.4475
87,19.6871
88,22.2141
89,25.0655
90,28.2829
91,31.9134
92,36.0098
93,40.632
94,45.8475
95,51.7325
96,51.568
