age,infected,dead
0,992,0
1,992,0
2,992,0
3,992,0
4,992,0
5,992,0
6,992,0
7,992,0
8,992,0
9,992,0
10,1850,0
11,1850,0
12,1850,0
13,1850,0
14,1850,0
15,1850,0
16,1850,0
17,1850,0
18,1850,0
19,1850,0
20,2404,0
21,2404,0
22,2404,0
23,2404,0
24,2404,0
25,2404,0
26,2404,0
27,2404,0
28,2404,0
29,2404,0
30,2048,0
31,2048,0
32,2048,0
33,2048,0
34,2048,0
35,2048,0
36,2048,0
37,2048,0
38,2048,0
39,2048,0
40,1887,1
41,1887,1
42,1887,1
43,1887,1
44,1887,1
45,1887,1
46,1887,1
47,1887,1
48,1887,1
49,1887,1
50,1556,3
51,1556,3
52,1556,3
53,1556,3
54,1556,3
55,1556,3
56,1556,3
57,1556,3
58,1556,3
59,1556,3
60,707,8
61,707,8
62,707,8
63,707,8
64,707,8
65,707,8
66,707,8
67,707,8
68,707,8
69,707,8
70,351,17
71,351,17
72,351,17
73,351,17
74,351,17
75,351,17
76,351,17
77,351,17
78,351,17
79,351,17
80,158,27
81,158,27
82,158,27
83,158,27
84,158,27
85,158,27
86,158,27
87,158,27
88,158,27
89,158,27
90,32,12
91,32,12
92,32,12
93,32,12
94,32,12
95,32,12
96,32,12
97,32,12
98,32,12
99,32,12
100,32,12
101,32,12
102,32,12
103,32,12
104,32,12
105,32,12
