age,employed
15,26936
16,26936
17,26936
18,26936
19,26936
20,53700
21,53700
22,53700
23,53700
24,53700
25,62376
26,62376
27,62376
28,62376
29,62376
30,62376
31,62376
32,62376
33,62376
34,62376
35,62376
36,62376
37,62376
38,62376
39,62376
40,63754
41,63754
42,63754
43,63754
44,63754
45,63754
46,63754
47,63754
48,63754
49,63754
50,63754
51,63754
52,63754
53,63754
54,63754
55,46625
56,46625
57,46625
58,46625
59,46625
60,46625
61,46625
62,46625
63,46625
64,46625
65,46625
66,46625
67,11469
68,11469
69,11469
70,11469
71,11469
72,11469
73,11469
74,11469
