date,year,week,r0_average,r0_conf_95_low,r0_conf_95_high,H_cumulative,H_new,ICU_cummulative,ICU_new,I_cumulative,I_new,D_cumulative,D_new,V_1_cumulative,V_2_cumulative,V_1_new,V_2_new,vaccine_supply_new,alpha_s,alpha_e1,alpha_e2,alpha_a,alpha_i,w_c1,w_c2,w_c3,w_c4,
2/21/2020,2020 ,  8 ,3.1,2.4,3.9,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
2/22/2020,2020 ,  8 ,3.1,2.4,3.9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
2/23/2020,2020 ,  9 ,3.1,2.4,3.9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
2/24/2020,2020 ,  9 ,3.1,2.4,3.9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
2/25/2020,2020 ,  9 ,3.1,2.4,3.9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
2/26/2020,2020 ,  9 ,3.1,2.4,3.9,0,0,0,0,4,3,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
2/27/2020,2020 ,  9 ,3.1,2.4,3.9,0,0,0,0,6,2,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
2/28/2020,2020 ,  9 ,3.1,2.4,3.9,0,0,0,0,15,9,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
2/29/2020,2020 ,  9 ,3.1,2.4,3.9,0,0,0,0,21,6,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/1/2020,2020 ,  10 ,3.1,2.4,3.9,0,0,0,0,31,10,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/2/2020,2020 ,  10 ,3.1,2.4,3.9,0,0,0,0,43,12,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/3/2020,2020 ,  10 ,3.1,2.4,3.9,0,0,0,0,74,31,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/4/2020,2020 ,  10 ,3.1,2.4,3.9,0,0,0,0,107,33,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/5/2020,2020 ,  10 ,3.1,2.4,3.9,0,0,0,0,140,33,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/6/2020,2020 ,  10 ,3.1,2.4,3.9,1,1,0,0,164,24,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/7/2020,2020 ,  10 ,3.1,2.4,3.9,1,0,0,0,184,20,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/8/2020,2020 ,  11 ,3.1,2.4,3.9,2,1,0,0,249,65,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/9/2020,2020 ,  11 ,3.1,2.4,3.9,5,3,0,0,496,247,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/10/2020,2020 ,  11 ,3.1,2.4,3.9,12,7,3,3,737,241,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/11/2020,2020 ,  11 ,3.1,2.4,3.9,20,8,5,2,912,175,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/12/2020,2020 ,  11 ,3.1,2.4,3.9,24,4,6,1,1118,206,0,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/13/2020,2020 ,  11 ,3.1,2.4,3.9,33,9,7,1,1265,147,1,1,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/14/2020,2020 ,  11 ,3.1,2.4,3.9,44,11,8,1,1365,100,2,1,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/15/2020,2020 ,  12 ,0.5,0.4,0.6,52,8,11,3,1464,99,2,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/16/2020,2020 ,  12 ,0.5,0.4,0.6,71,19,17,6,1644,180,3,1,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/17/2020,2020 ,  12 ,0.5,0.4,0.6,90,19,21,4,1820,176,3,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/18/2020,2020 ,  12 ,0.5,0.4,0.6,114,24,26,5,2033,213,3,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/19/2020,2020 ,  12 ,0.5,0.4,0.6,152,38,32,6,2272,239,6,3,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/20/2020,2020 ,  12 ,0.5,0.4,0.6,184,32,41,9,2580,308,7,1,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/21/2020,2020 ,  12 ,0.5,0.4,0.6,212,28,47,6,2754,174,7,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/22/2020,2020 ,  13 ,0.5,0.4,0.6,240,28,55,8,2902,148,7,0,0,0,0,0,0,1,1,1,1,0.1,0.5,0.5,0.5,0.5,
3/23/2020,2020 ,  13 ,0.5,0.4,0.6,283,43,66,11,3198,296,8,1,0,0,0,0,0,1,1,1,1,0.1,0.5,0.5,0.5,0.5,
3/24/2020,2020 ,  13 ,0.5,0.4,0.6,329,46,80,14,3511,313,10,2,0,0,0,0,0,1,1,1,1,0.1,0.5,0.5,0.5,0.5,
3/25/2020,2020 ,  13 ,0.5,0.4,0.6,389,60,97,17,3803,292,12,2,0,0,0,0,0,1,1,1,1,0.1,0.5,0.5,0.5,0.5,
3/26/2020,2020 ,  13 ,0.5,0.4,0.6,434,45,106,9,4100,297,14,2,0,0,0,0,0,1,1,1,1,0.1,0.5,0.5,0.5,0.5,
3/27/2020,2020 ,  13 ,0.5,0.4,0.6,470,36,119,13,4362,262,16,2,0,0,0,0,0,1,1,1,1,0.1,0.5,0.5,0.5,0.5,
3/28/2020,2020 ,  13 ,0.5,0.4,0.6,504,34,126,7,4528,166,20,4,0,0,0,0,0,1,1,1,1,0.1,0.5,0.5,0.5,0.5,
3/29/2020,2020 ,  14 ,0.5,0.4,0.6,528,24,132,6,4634,106,22,2,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/30/2020,2020 ,  14 ,0.5,0.4,0.6,561,33,142,10,4898,264,26,4,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
3/31/2020,2020 ,  14 ,0.5,0.4,0.6,599,38,149,7,5106,208,28,2,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
4/1/2020,2020 ,  14 ,0.5,0.4,0.6,626,27,153,4,5304,198,32,4,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
4/2/2020,2020 ,  14 ,0.5,0.4,0.6,663,37,157,4,5502,198,42,10,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
4/3/2020,2020 ,  14 ,0.5,0.4,0.6,684,21,162,5,5666,164,42,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
4/4/2020,2020 ,  14 ,0.5,0.4,0.6,711,27,165,3,5754,88,50,8,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
4/5/2020,2020 ,  15 ,0.5,0.4,0.6,725,14,169,4,5826,72,58,8,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
4/6/2020,2020 ,  15 ,0.5,0.4,0.6,744,19,170,1,5985,159,58,0,0,0,0,0,0,1,1,1,1,0.1,0.31,0.24,0.16,0.29,
