from,to,n
municip0301,municip4638,8.0
municip0301,municip1875,2.0
municip0301,municip5055,2.0
municip0301,municip3001,149.0
municip0301,municip3002,595.0
municip0301,municip5054,4.0
municip0301,municip3003,435.0
municip0301,municip5053,4.0
municip0301,municip5049,1.0
municip0301,municip3004,450.0
municip0301,municip5047,2.0
municip0301,municip5046,1.0
municip0301,municip5045,1.0
municip0301,municip5043,2.0
municip0301,municip3005,1659.0
municip0301,municip5042,1.0
municip0301,municip5041,1.0
municip0301,municip3006,228.0
municip0301,municip1874,1.0
municip0301,municip1871,5.0
municip0301,municip5056,8.0
municip0301,municip1870,11.0
municip0301,municip1836,1.0
municip0301,municip1837,6.0
municip0301,municip1838,2.0
municip0301,municip1839,1.0
municip0301,municip1840,2.0
municip0301,municip1841,3.0
municip0301,municip5060,4.0
municip0301,municip1848,5.0
municip0301,municip5038,13.0
municip0301,municip1857,5.0
municip0301,municip1859,2.0
municip0301,municip1860,24.0
municip0301,municip5058,2.0
municip0301,municip1865,32.0
municip0301,municip1866,8.0
municip0301,municip5057,7.0
municip0301,municip1867,2.0
municip0301,municip1868,2.0
municip0301,municip5059,3.0
municip0301,municip5061,1.0
municip0301,municip3007,293.0
municip0301,municip3012,1.0
municip0301,municip1103,750.0
municip0301,municip5028,8.0
municip0301,municip5027,5.0
municip0301,municip3031,1560.0
municip0301,municip3032,97.0
municip0301,municip3033,3601.0
municip0301,municip5025,18.0
municip0301,municip5022,1.0
municip0301,municip3034,198.0
municip0301,municip3035,226.0
municip0301,municip5021,14.0
municip0301,municip3036,144.0
municip0301,municip3037,24.0
municip0301,municip3038,51.0
municip0301,municip3039,4.0
municip0301,municip3040,13.0
municip0301,municip3041,27.0
municip0301,municip3030,5368.0
municip0301,municip3029,5306.0
municip0301,municip5029,2.0
municip0301,municip3028,285.0
municip0301,municip3013,8.0
municip0301,municip3014,342.0
municip0301,municip3015,14.0
municip0301,municip3016,27.0
municip0301,municip3017,40.0
municip0301,municip3018,21.0
municip0301,municip3019,600.0
municip0301,municip5037,20.0
municip0301,municip3011,12.0
municip0301,municip3020,4263.0
municip0301,municip3022,299.0
municip0301,municip3023,469.0
municip0301,municip3024,19351.0
municip0301,municip5035,48.0
municip0301,municip3025,4133.0
municip0301,municip3026,205.0
municip0301,municip5031,17.0
municip0301,municip3027,279.0
municip0301,municip3021,979.0
municip0301,municip3042,14.0
municip0301,municip1834,3.0
municip0301,municip1833,22.0
municip0301,municip5422,2.0
municip0301,municip1127,10.0
municip0301,municip5441,6.0
municip0301,municip1130,6.0
municip0301,municip1133,2.0
municip0301,municip1134,8.0
municip0301,municip1135,2.0
municip0301,municip1144,1.0
municip0301,municip1146,16.0
municip0301,municip5421,13.0
municip0301,municip5420,3.0
municip0301,municip1149,54.0
municip0301,municip1160,7.0
municip0301,municip1505,41.0
municip0301,municip5418,14.0
municip0301,municip1506,91.0
municip0301,municip5416,7.0
municip0301,municip5423,2.0
municip0301,municip5424,1.0
municip0301,municip1124,99.0
municip0301,municip1122,16.0
municip0301,municip5437,6.0
municip0301,municip5436,8.0
municip0301,municip1106,85.0
municip0301,municip5435,6.0
municip0301,municip5434,1.0
municip0301,municip1108,119.0
municip0301,municip5430,5.0
municip0301,municip5429,3.0
municip0301,municip5443,4.0
municip0301,municip1111,1.0
municip0301,municip1114,1.0
municip0301,municip1119,6.0
municip0301,municip5428,6.0
municip0301,municip1120,11.0
municip0301,municip5427,3.0
municip0301,municip1121,8.0
municip0301,municip5426,4.0
municip0301,municip1101,13.0
municip0301,municip1112,2.0
municip0301,municip5401,278.0
municip0301,municip1507,107.0
municip0301,municip5412,7.0
municip0301,municip1566,5.0
municip0301,municip1573,1.0
municip0301,municip1576,2.0
municip0301,municip1577,20.0
municip0301,municip1579,4.0
municip0301,municip5403,27.0
municip0301,municip1804,180.0
municip0301,municip1806,21.0
municip0301,municip5402,30.0
municip0301,municip1812,2.0
municip0301,municip1813,10.0
municip0301,municip1820,3.0
municip0301,municip1824,10.0
municip0301,municip1825,6.0
municip0301,municip1826,1.0
municip0301,municip1828,2.0
municip0301,municip1832,4.0
municip0301,municip1563,7.0
municip0301,municip5404,2.0
municip0301,municip1560,3.0
municip0301,municip1557,1.0
municip0301,municip1511,1.0
municip0301,municip1514,3.0
municip0301,municip5411,1.0
municip0301,municip1515,4.0
municip0301,municip5444,18.0
municip0301,municip1516,9.0
municip0301,municip1517,5.0
municip0301,municip1520,7.0
municip0301,municip5414,1.0
municip0301,municip1525,9.0
municip0301,municip1531,14.0
municip0301,municip1532,4.0
municip0301,municip1535,6.0
municip0301,municip1539,15.0
municip0301,municip5406,16.0
municip0301,municip1547,3.0
municip0301,municip5405,13.0
municip0301,municip1554,4.0
municip0301,municip1528,12.0
municip0301,municip3043,23.0
municip0301,municip5440,1.0
municip0301,municip3044,31.0
municip0301,municip3824,5.0
municip0301,municip3825,17.0
municip0301,municip4201,9.0
municip0301,municip4202,52.0
municip0301,municip4203,125.0
municip0301,municip4647,37.0
municip0301,municip4204,356.0
municip0301,municip4646,2.0
municip0301,municip4205,11.0
municip0301,municip4645,3.0
municip0301,municip4206,14.0
municip0301,municip4207,6.0
municip0301,municip4212,1.0
municip0301,municip4213,8.0
municip0301,municip4214,8.0
municip0301,municip3823,2.0
municip0301,municip3822,3.0
municip0301,municip5014,3.0
municip0301,municip3820,8.0
municip0301,municip3804,328.0
municip0301,municip4649,11.0
municip0301,municip3805,134.0
municip0301,municip3806,140.0
municip0301,municip4648,2.0
municip0301,municip3807,145.0
municip0301,municip3808,53.0
municip0301,municip4215,21.0
municip0301,municip3811,80.0
municip0301,municip3813,11.0
municip0301,municip3814,27.0
municip0301,municip3815,2.0
municip0301,municip3816,12.0
municip0301,municip3817,37.0
municip0301,municip3818,19.0
municip0301,municip3819,4.0
municip0301,municip3812,2.0
municip0301,municip4650,8.0
municip0301,municip4216,2.0
municip0301,municip4219,4.0
municip0301,municip4621,19.0
municip0301,municip4622,3.0
municip0301,municip4624,2.0
municip0301,municip4625,2.0
municip0301,municip4626,33.0
municip0301,municip4627,7.0
municip0301,municip4628,5.0
municip0301,municip4640,28.0
municip0301,municip4631,7.0
municip0301,municip4633,1.0
municip0301,municip4639,3.0
municip0301,municip4634,2.0
municip0301,municip4635,1.0
municip0301,municip4636,1.0
municip0301,municip4637,1.0
municip0301,municip4618,11.0
municip0301,municip4617,3.0
municip0301,municip4616,1.0
municip0301,municip4614,23.0
municip0301,municip4220,1.0
municip0301,municip4221,5.0
municip0301,municip4222,7.0
municip0301,municip4223,10.0
municip0301,municip4225,4.0
municip0301,municip4644,12.0
municip0301,municip4226,4.0
municip0301,municip4217,7.0
municip0301,municip4227,2.0
municip0301,municip4601,1422.0
municip0301,municip4643,6.0
municip0301,municip4642,2.0
municip0301,municip4602,25.0
municip0301,municip4611,3.0
municip0301,municip4613,5.0
municip0301,municip4641,10.0
municip0301,municip4228,6.0
municip0301,municip3803,384.0
municip0301,municip3821,4.0
municip0301,municip3801,143.0
municip0301,municip3416,17.0
municip0301,municip3417,12.0
municip0301,municip3418,26.0
municip0301,municip3419,3.0
municip0301,municip3802,133.0
municip0301,municip3421,11.0
municip0301,municip3422,24.0
municip0301,municip3415,53.0
municip0301,municip3423,8.0
municip0301,municip3425,3.0
municip0301,municip3426,3.0
municip0301,municip3427,15.0
municip0301,municip3428,6.0
municip0301,municip3429,2.0
municip0301,municip3430,8.0
municip0301,municip3431,6.0
municip0301,municip3424,6.0
municip0301,municip3414,17.0
municip0301,municip3413,79.0
municip0301,municip3412,9.0
municip0301,municip3045,3.0
municip0301,municip3046,23.0
municip0301,municip3047,66.0
municip0301,municip3048,72.0
municip0301,municip5007,11.0
municip0301,municip3049,565.0
municip0301,municip3050,7.0
municip0301,municip3051,5.0
municip0301,municip3052,7.0
municip0301,municip3053,42.0
municip0301,municip3054,67.0
municip0301,municip3401,154.0
municip0301,municip3403,319.0
municip0301,municip3405,226.0
municip0301,municip5006,43.0
