I_past_week,I_2w_ago,I_slope_weekly,I_inter_week_rate,response_measure
1,0,0,1.0,1.0
1,0,0,1.0,1.0
1,0,0,1.0,1.0
1,0,0,1.0,1.0
1,0,0,1.0,1.0
4,0,0,4.0,1.0
6,0,0,6.0,1.0
14,1,1,14.0,1.0
20,1,2,20.0,1.0
30,1,4,30.0,1.0
42,1,5,42.0,1.0
73,1,10,73.0,1.0
136,4,18,34.0,0.0
136,4,18,34.0,0.0
167,6,23,27.833333333333332,1.0
182,14,24,13.0,1.0
196,20,25,9.8,1.0
251,30,31,8.366666666666667,0.0
486,42,63,11.571428571428571,0.0
696,73,89,9.534246575342467,1.0
805,136,95,5.919117647058823,1.0
978,167,115,5.8562874251497,1.0
1101,182,131,6.049450549450549,0.0
1281,196,155,6.535714285714286,0.0
1281,196,155,6.535714285714286,0.0
1414,251,166,5.633466135458168,0.0
1414,251,166,5.633466135458168,0.0
1347,486,123,2.771604938271605,0.0
1458,696,108,2.0948275862068964,0.0
1458,696,108,2.0948275862068964,0.0
1496,805,98,1.858385093167702,1.0
1529,978,78,1.5633946830265848,0.0
1998,1101,128,1.8147138964577656,0.0
1998,1101,128,1.8147138964577656,0.0
1972,1281,98,1.5394223263075721,0.0
1922,1414,72,1.3592644978783592,0.0
2038,1347,98,1.5129918337045285,1.0
1999,1458,77,1.3710562414266119,1.0
2078,1496,83,1.38903743315508,1.0
2136,1529,86,1.3969914977109221,0.0
3092,1998,156,1.5475475475475475,0.0
3092,1998,156,1.5475475475475475,0.0
3092,1998,156,1.5475475475475475,0.0
3092,1998,156,1.5475475475475475,0.0
3092,1998,156,1.5475475475475475,0.0
3092,1998,156,1.5475475475475475,0.0
3084,1972,158,1.563894523326572,1.0
3042,1922,160,1.582726326742976,1.0
3274,2038,176,1.606476938174681,0.0
3274,2038,176,1.606476938174681,0.0
3169,1999,167,1.5852926463231616,0.0
3075,2078,142,1.4797882579403272,1.0
2976,2136,120,1.3932584269662922,1.0
1568,3092,-217,0.5071151358344114,1.0
1490,3084,-227,0.48313878080415046,1.0
1456,3042,-226,0.47863247863247865,1.0
1087,3274,-312,0.3320097739767868,1.0
1019,3169,-307,0.32155254023351215,1.0
927,3075,-306,0.30146341463414633,1.0
832,2976,-306,0.27956989247311825,0.0
736,1568,-118,0.46938775510204084,1.0
757,1490,-104,0.5080536912751678,0.0
761,1456,-99,0.5226648351648352,1.0
679,1087,-58,0.624655013799448,1.0
661,1019,-51,0.6486751717369971,1.0
658,927,-38,0.7098166127292341,0.0
635,832,-28,0.7632211538461539,0.0
675,736,-8,0.9171195652173914,0.0
615,757,-20,0.8124174372523117,0.0
575,761,-26,0.7555847568988173,1.0
918,679,34,1.3519882179675995,3.0
918,679,34,1.3519882179675995,3.0
918,679,34,1.3519882179675995,0.0
918,679,34,1.3519882179675995,0.0
918,679,34,1.3519882179675995,0.0
874,661,30,1.3222390317700454,1.0
848,658,27,1.2887537993920972,1.0
837,635,28,1.3181102362204724,1.0
782,675,15,1.1585185185185185,1.0
783,615,24,1.273170731707317,0.0
783,615,24,1.273170731707317,0.0
784,575,29,1.3634782608695653,1.0
506,918,-58,0.55119825708061,3.0
506,918,-58,0.55119825708061,3.0
628,874,-35,0.7185354691075515,0.0
628,874,-35,0.7185354691075515,0.0
628,874,-35,0.7185354691075515,3.0
628,874,-35,0.7185354691075515,0.0
629,848,-31,0.7417452830188679,0.0
629,848,-31,0.7417452830188679,0.0
599,837,-34,0.7156511350059738,0.0
589,782,-27,0.7531969309462916,1.0
562,783,-31,0.7177522349936143,1.0
569,784,-30,0.7257653061224489,0.0
472,506,-4,0.932806324110672,1.0
315,628,-44,0.5015923566878981,0.0
276,629,-50,0.43879173290937995,1.0
266,599,-47,0.44407345575959933,1.0
265,589,-46,0.44991511035653653,1.0
253,562,-44,0.4501779359430605,1.0
221,569,-49,0.3884007029876977,1.0
291,472,-25,0.6165254237288136,0.0
291,472,-25,0.6165254237288136,0.0
291,472,-25,0.6165254237288136,0.0
291,472,-25,0.6165254237288136,0.0
291,472,-25,0.6165254237288136,0.0
267,315,-6,0.8476190476190476,1.0
247,276,-4,0.894927536231884,1.0
241,266,-3,0.9060150375939849,1.0
346,265,11,1.3056603773584905,3.0
346,265,11,1.3056603773584905,3.0
346,265,11,1.3056603773584905,0.0
346,265,11,1.3056603773584905,0.0
346,265,11,1.3056603773584905,3.0
346,265,11,1.3056603773584905,0.0
346,265,11,1.3056603773584905,3.0
348,253,13,1.3754940711462451,1.0
340,221,17,1.5384615384615385,0.0
242,291,-7,0.8316151202749141,1.0
243,267,-3,0.9101123595505618,1.0
243,247,0,0.9838056680161943,3.0
234,241,-1,0.970954356846473,1.0
113,346,-33,0.3265895953757225,1.0
106,348,-34,0.3045977011494253,1.0
108,340,-33,0.3176470588235294,1.0
109,242,-19,0.45041322314049587,1.0
101,243,-20,0.4156378600823045,1.0
100,243,-20,0.411522633744856,0.0
102,234,-18,0.4358974358974359,1.0
92,113,-3,0.8141592920353983,0.0
86,106,-2,0.8113207547169812,1.0
86,108,-3,0.7962962962962963,1.0
75,109,-4,0.6880733944954128,1.0
94,101,-1,0.9306930693069307,1.0
88,100,-1,0.88,1.0
89,102,-1,0.8725490196078431,0.0
163,92,10,1.7717391304347827,0.0
163,92,10,1.7717391304347827,3.0
163,92,10,1.7717391304347827,3.0
171,86,12,1.9883720930232558,1.0
174,86,12,2.0232558139534884,1.0
185,75,15,2.466666666666667,1.0
167,94,10,1.7765957446808511,1.0
169,88,11,1.9204545454545454,1.0
163,89,10,1.8314606741573034,0.0
86,163,-11,0.5276073619631901,1.0
85,171,-12,0.49707602339181284,1.0
82,174,-13,0.47126436781609193,1.0
172,185,-1,0.9297297297297298,3.0
172,185,-1,0.9297297297297298,3.0
172,185,-1,0.9297297297297298,3.0
172,185,-1,0.9297297297297298,3.0
172,185,-1,0.9297297297297298,3.0
172,185,-1,0.9297297297297298,3.0
267,167,14,1.598802395209581,3.0
267,167,14,1.598802395209581,3.0
267,167,14,1.598802395209581,3.0
268,169,14,1.5857988165680474,0.0
270,163,15,1.656441717791411,1.0
275,86,27,3.197674418604651,1.0
274,85,27,3.223529411764706,1.0
272,82,27,3.317073170731707,1.0
191,172,2,1.1104651162790697,1.0
96,267,-24,0.3595505617977528,1.0
102,268,-23,0.3805970149253731,1.0
106,270,-23,0.3925925925925926,1.0
110,275,-23,0.4,3.0
114,274,-22,0.41605839416058393,1.0
111,272,-23,0.40808823529411764,1.0
110,191,-11,0.5759162303664922,1.0
107,96,1,1.1145833333333333,1.0
94,102,-1,0.9215686274509803,1.0
86,106,-2,0.8113207547169812,1.0
74,110,-5,0.6727272727272727,1.0
72,114,-6,0.631578947368421,0.0
72,114,-6,0.631578947368421,0.0
72,114,-6,0.631578947368421,3.0
72,114,-6,0.631578947368421,0.0
83,111,-4,0.7477477477477478,3.0
83,111,-4,0.7477477477477478,3.0
83,111,-4,0.7477477477477478,3.0
83,111,-4,0.7477477477477478,0.0
83,111,-4,0.7477477477477478,0.0
83,111,-4,0.7477477477477478,0.0
83,111,-4,0.7477477477477478,3.0
83,111,-4,0.7477477477477478,0.0
83,111,-4,0.7477477477477478,3.0
83,111,-4,0.7477477477477478,3.0
