ID;ISO;COUNTRY;REGION;LOG_TYPE;CATEGORY;MEASURE;TARGETED_POP_GROUP;COMMENTS;NON_COMPLIANCE;DATE_IMPLEMENTED;SOURCE;SOURCE_TYPE
3456;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Awareness campaigns;checked;Materials developed in multiple languages (16.03.2020) and for specific at-risk groups;Not applicable;05.03.2020;Norwegian Institut of Public Health;Government
476;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Schools closure;;closure of all schools, educational insititutions and childcare centres from 12 March until 26 March (extended to past Eastern on 24/03/2020);Not applicable;12.03.2020;Directorate of Health;Government
478;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Closure of businesses and public services;;Closure of public facilities such as swimming pool;Not applicable;12.03.2020;Directorate of Health;Government
5633;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;"Macro-financial policies: (i) reduction of the policy rate by 1.25 percentage points to 0.25 percent; (ii) provision of additional liquidity to banks in form of loans of differing maturities; (iii) the establishment of a swap facility of USD 30 billion between Norges Bank and the US Federal Reserve (mutual currency arrangement); and (iv) the possibility for banks to borrow in USD dollars against collateral.; measures gradually implemented from 12.03.2020";Not applicable;12.03.2020;International Monetary Fund;Other organisations
475;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;checked;all arriving travelers (exept from Sweden or Finland) are requested to self-quarantine for 14 days upon entering Norway, including those who have arrived since 27 February;Fines;13.03.2020;Government;Government
2162;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;Recommendations against travel abroad;Not applicable;14.03.2020;Government;Government
2163;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;checked;All workers in essential public services are offered day care for their children;Not applicable;14.03.2020;Government;Government
473;NOR;Norway;Europe;Introduction / extension of measures;Movement restrictions;Border checks;;border checks at all borders;Not applicable;15.03.2020;Government;Government
474;NOR;Norway;Europe;Introduction / extension of measures;Movement restrictions;Border closure;checked;non-residents and non-citizens are not allowed to enter;Not applicable;15.03.2020;Government;Government
2166;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;100 billion NOK to businesses including loans and additional funds;Not applicable;16.03.2020;Government;Government
2165;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;"People with close contact to a confirmed case need to self-quarantine; also rules around self-isolation were updated";Fines;17.03.2020;Government;Government
2164;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;All people arriving in Norway are required to go into quarantine (also people from Finland and Sweden);Fines;17.03.2020;Government;Government
