country,log_type,date
Afghanistan,Introduction / extension of measures,2020-01-24
Afghanistan,Introduction / extension of measures,2020-01-26
Afghanistan,Introduction / extension of measures,2020-01-27
Afghanistan,Introduction / extension of measures,2020-01-27
Afghanistan,Introduction / extension of measures,2020-02-01
Afghanistan,Introduction / extension of measures,2020-02-02
Afghanistan,Introduction / extension of measures,2020-02-02
Afghanistan,Introduction / extension of measures,2020-02-04
Afghanistan,Introduction / extension of measures,2020-02-04
Afghanistan,Introduction / extension of measures,2020-02-06
Afghanistan,Introduction / extension of measures,2020-02-08
Afghanistan,Introduction / extension of measures,2020-02-12
Afghanistan,Introduction / extension of measures,2020-02-12
Afghanistan,Introduction / extension of measures,2020-02-12
Afghanistan,Introduction / extension of measures,2020-02-12
Afghanistan,Introduction / extension of measures,2020-02-12
Afghanistan,Introduction / extension of measures,2020-02-13
Afghanistan,Introduction / extension of measures,2020-02-20
Afghanistan,Introduction / extension of measures,2020-02-22
Afghanistan,Introduction / extension of measures,2020-02-24
Afghanistan,Introduction / extension of measures,2020-02-24
Afghanistan,Introduction / extension of measures,2020-02-24
Afghanistan,Introduction / extension of measures,2020-02-24
Afghanistan,Introduction / extension of measures,2020-02-24
Afghanistan,Introduction / extension of measures,2020-03-01
Afghanistan,Introduction / extension of measures,2020-03-01
Afghanistan,Introduction / extension of measures,2020-03-01
Afghanistan,Introduction / extension of measures,2020-03-01
Afghanistan,Introduction / extension of measures,2020-03-01
Afghanistan,Introduction / extension of measures,2020-03-02
Afghanistan,Introduction / extension of measures,2020-03-05
Afghanistan,Introduction / extension of measures,2020-03-07
Afghanistan,Introduction / extension of measures,2020-03-11
Afghanistan,Introduction / extension of measures,2020-03-12
Afghanistan,Introduction / extension of measures,2020-03-15
Afghanistan,Introduction / extension of measures,2020-03-19
Afghanistan,Introduction / extension of measures,2020-03-19
Afghanistan,Introduction / extension of measures,2020-03-19
Afghanistan,Introduction / extension of measures,2020-03-20
Afghanistan,Introduction / extension of measures,2020-03-22
Afghanistan,Introduction / extension of measures,2020-03-22
Afghanistan,Introduction / extension of measures,2020-03-25
Afghanistan,Introduction / extension of measures,2020-03-28
Afghanistan,Introduction / extension of measures,2020-03-28
Afghanistan,Introduction / extension of measures,2020-03-28
Afghanistan,Introduction / extension of measures,2020-03-30
Afghanistan,Introduction / extension of measures,2020-03-31
Afghanistan,Introduction / extension of measures,2020-04-01
Afghanistan,Introduction / extension of measures,2020-04-02
Afghanistan,Introduction / extension of measures,2020-04-03
Afghanistan,Introduction / extension of measures,2020-04-07
Afghanistan,Introduction / extension of measures,2020-05-12
Afghanistan,Phase-out measure,2020-05-14
Afghanistan,Phase-out measure,2020-06-24
Afghanistan,Introduction / extension of measures,2020-07-01
Afghanistan,Introduction / extension of measures,2020-07-06
Afghanistan,Phase-out measure,2020-08-21
Afghanistan,Introduction / extension of measures,2020-09-19
Albania,Introduction / extension of measures,
Albania,Introduction / extension of measures,24/01/2020
Albania,Introduction / extension of measures,24/01/2020
