region_id,region,0-6,7-15,16-19,20-40,41-66,67+,population
301,OSLO,55837,64036,25672,265609,207877,77749,696780
1101,EIGERSUND,1132,1719,739,3858,4898,2439,14785
1103,STAVANGER,11735,16218,6740,43688,47283,18451,144115
1106,HAUGESUND,2636,3996,1831,10319,12823,5707,37312
1108,SANDNES,7589,10110,4057,23830,25653,9206,80445
1111,SOKNDAL,244,433,152,743,1084,600,3256
1112,LUND,264,395,146,779,1051,539,3174
1114,BJERKREIM,245,376,172,704,911,383,2791
1119,HÅ,1853,2607,1020,5348,5790,2498,19116
1120,KLEPP,1793,2620,1034,5819,6212,2366,19844
1121,TIME,1723,2493,960,5474,6013,2442,19105
1122,GJESDAL,1197,1707,599,3469,3842,1249,12063
1124,SOLA,2572,3449,1340,8117,8813,3163,27454
1127,RANDABERG,959,1438,621,3095,3660,1539,11312
1130,STRAND,1161,1700,711,3506,4088,1901,13067
1133,HJELMELAND,208,317,127,584,849,493,2578
1134,SULDAL,298,468,180,859,1255,746,3806
1135,SAUDA,325,518,184,1083,1569,879,4558
1144,KVITSØY,35,50,31,100,182,109,507
1145,BOKN,54,83,54,192,308,168,859
1146,TYSVÆR,1030,1502,621,2864,3509,1651,11177
1149,KARMØY,3439,5256,2163,10966,13906,6610,42340
1151,UTSIRA,10,18,13,43,70,38,192
1160,VINDAFJORD,701,1018,457,2229,2872,1426,8703
1505,KRISTIANSUND,1496,2517,1152,6255,8243,4432,24095
1506,MOLDE,2286,3355,1582,8225,10533,5878,31859
1507,ÅLESUND,5057,7294,3239,18955,21699,10414,66658
1511,VANYLVEN,161,253,139,641,1085,801,3080
1514,SANDE,152,231,129,512,911,509,2444
1515,HERØY,624,988,470,2078,3084,1614,8858
1516,ULSTEIN,670,1003,496,2141,2968,1296,8574
1517,HAREID,434,594,242,1333,1670,867,5140
1520,ØRSTA,850,1261,542,2744,3465,1966,10828
1525,STRANDA,279,432,218,1116,1511,924,4480
1528,SYKKYLVEN,514,866,419,1785,2615,1395,7594
1531,SULA,838,1238,455,2539,2978,1360,9408
1532,GISKE,840,1083,457,2202,2687,1234,8503
1535,VESTNES,465,728,337,1583,2485,1356,6954
1539,RAUMA,493,769,339,1608,2343,1470,7022
1547,AUKRA,238,467,193,872,1105,647,3522
1554,AVERØY,368,660,297,1303,2045,1134,5807
1557,GJEMNES,196,290,154,601,865,550,2656
1560,TINGVOLL,177,298,152,603,1061,692,2983
1563,SUNNDAL,483,637,338,1639,2496,1360,6953
1566,SURNADAL,383,558,281,1383,2004,1263,5872
1573,SMØLA,126,201,93,480,740,487,2127
1576,AURE,210,334,163,747,1245,769,3468
1577,VOLDA,768,1132,578,3224,3213,1865,10780
1578,FJORD,123,279,143,503,882,569,2499
1579,HUSTADVIKA,1043,1549,714,3347,4364,2293,13310
1804,BODØ,3855,5644,2459,15645,17259,7691,52553
1806,NARVIK,1440,2155,926,5631,7328,4174,21654
1811,BINDAL,84,149,67,240,482,374,1396
1812,SØMNA,107,214,110,435,703,420,1989
1813,BRØNNØY,517,892,396,1892,2747,1359,7803
1815,VEGA,61,116,55,236,436,278,1182
1816,VEVELSTAD,30,37,22,92,171,113,465
1818,HERØY,149,184,72,429,600,358,1792
1820,ALSTAHAUG,510,737,385,1822,2527,1413,7394
1822,LEIRFJORD,218,250,87,551,752,416,2274
1824,VEFSN,878,1290,667,3299,4558,2574,13266
1825,GRANE,80,151,69,336,479,337,1452
1826,HATTFJELLDAL,56,126,63,248,445,328,1266
1827,DØNNA,66,144,74,268,504,315,1371
1828,NESNA,103,179,90,383,628,317,1700
1832,HEMNES,302,441,200,1024,1481,978,4426
1833,RANA,1726,2731,1223,6826,8871,4702,26079
1834,LURØY,123,190,73,444,621,424,1875
1835,TRÆNA,20,38,24,124,160,76,442
1836,RØDØY,80,122,80,268,397,259,1206
1837,MELØY,431,672,322,1475,2101,1242,6243
1838,GILDESKÅL,97,183,74,384,703,479,1920
1839,BEIARN,54,72,41,195,355,282,999
1840,SALTDAL,332,471,193,1022,1603,1010,4631
1841,FAUSKE,612,910,445,2368,3370,1935,9640
1845,SØRFOLD,120,172,103,385,648,481,1909
1848,STEIGEN,152,247,102,587,883,614,2585
1851,LØDINGEN,84,187,78,354,760,539,2002
1853,EVENES,57,121,63,265,458,359,1323
1856,RØST,21,42,19,109,195,102,488
1857,VÆRØY,36,77,24,161,257,143,698
1859,FLAKSTAD,64,102,63,253,445,311,1238
1860,VESTVÅGØY,881,1281,599,3011,3708,2035,11515
1865,VÅGAN,676,978,468,2536,3263,1749,9670
1866,HADSEL,553,823,355,1988,2701,1644,8064
1867,BØ,145,195,98,502,958,678,2576
1868,ØKSNES,277,420,213,1081,1565,859,4415
1870,SORTLAND,779,1167,526,2798,3461,1777,10508
1871,ANDØY,259,419,205,1039,1559,1105,4586
1874,MOSKENES,39,71,33,244,370,232,989
1875,HAMARØY,131,257,128,605,915,665,2701
3001,HALDEN,2065,3281,1548,7859,10865,5763,31381
3002,MOSS,3311,5244,2375,11967,17776,8985,49658
3003,SARPSBORG,4194,6321,2816,14844,19506,9680,57361
3004,FREDRIKSTAD,5737,8771,4058,21155,29267,14191,83179
3005,DRAMMEN,7462,11013,4925,27937,34487,16015,101839
3006,KONGSBERG,1846,3117,1255,7116,9541,4817,27692
3007,RINGERIKE,1961,3061,1389,7789,10861,5766,30827
3011,HVALER,220,431,189,774,1926,1154,4694
3012,AREMARK,72,122,69,263,520,278,1324
3013,MARKER,226,319,160,749,1308,838,3600
3014,INDRE ØSTFOLD,3276,4932,2108,11266,15876,7734,45192
3015,SKIPTVET,269,465,193,948,1337,613,3825
3016,RAKKESTAD,575,845,418,1987,2886,1510,8221
3017,RÅDE,546,798,348,1712,2745,1418,7567
3018,VÅLER (VIKEN),561,723,231,1596,1938,756,5805
3019,VESTBY,1564,2271,944,4344,6332,2832,18287
3020,NORDRE FOLLO,4870,7534,3200,14344,20960,9117,60025
3021,ÅS,1603,2314,890,6578,6413,2638,20436
3022,FROGN,922,1800,838,3231,6202,2960,15953
