"","from","to","n"
"1","municip0301","municip1101",71
"2","municip0301","municip1103",1423
"3","municip0301","municip1106",332
"4","municip0301","municip1108",652
"5","municip0301","municip1111",5
"6","municip0301","municip1112",13
"7","municip0301","municip1114",21
"8","municip0301","municip1119",71
"9","municip0301","municip1120",120
"10","municip0301","municip1121",98
"11","municip0301","municip1122",64
"12","municip0301","municip1124",193
"13","municip0301","municip1127",89
"14","municip0301","municip1130",72
"15","municip0301","municip1133",7
"16","municip0301","municip1134",12
"17","municip0301","municip1135",23
"18","municip0301","municip1144",6
"19","municip0301","municip1145",3
"20","municip0301","municip1146",57
"21","municip0301","municip1149",227
"22","municip0301","municip1160",52
"23","municip0301","municip1505",182
"24","municip0301","municip1506",271
"25","municip0301","municip1507",634
"26","municip0301","municip1511",10
"27","municip0301","municip1514",13
"28","municip0301","municip1515",39
"29","municip0301","municip1516",83
"30","municip0301","municip1517",39
"31","municip0301","municip1520",63
"32","municip0301","municip1525",26
"33","municip0301","municip1528",43
"34","municip0301","municip1531",79
"35","municip0301","municip1532",65
"36","municip0301","municip1535",41
"37","municip0301","municip1539",62
"38","municip0301","municip1547",25
"39","municip0301","municip1554",34
"40","municip0301","municip1557",9
"41","municip0301","municip1560",15
"42","municip0301","municip1563",29
"43","municip0301","municip1566",27
"44","municip0301","municip1573",10
"45","municip0301","municip1576",18
"46","municip0301","municip1577",51
"47","municip0301","municip1578",13
"48","municip0301","municip1579",78
"49","municip0301","municip1804",384
"50","municip0301","municip1806",88
"51","municip0301","municip1811",12
"52","municip0301","municip1812",4
"53","municip0301","municip1813",23
"54","municip0301","municip1815",8
"55","municip0301","municip1816",1
"56","municip0301","municip1818",6
"57","municip0301","municip1820",21
"58","municip0301","municip1822",8
"59","municip0301","municip1824",41
"60","municip0301","municip1825",5
"61","municip0301","municip1826",4
"62","municip0301","municip1827",4
"63","municip0301","municip1828",8
"64","municip0301","municip1832",18
"65","municip0301","municip1833",102
"66","municip0301","municip1834",9
"67","municip0301","municip1835",1
"68","municip0301","municip1836",6
"69","municip0301","municip1837",22
"70","municip0301","municip1838",5
"71","municip0301","municip1840",22
"72","municip0301","municip1841",44
"73","municip0301","municip1845",13
"74","municip0301","municip1848",7
"75","municip0301","municip1851",9
"76","municip0301","municip1853",7
"77","municip0301","municip1856",3
"78","municip0301","municip1857",2
"79","municip0301","municip1859",8
"80","municip0301","municip1860",59
"81","municip0301","municip1865",60
"82","municip0301","municip1866",19
"83","municip0301","municip1867",8
"84","municip0301","municip1868",23
"85","municip0301","municip1870",49
"86","municip0301","municip1871",14
"87","municip0301","municip1874",3
"88","municip0301","municip1875",7
"89","municip0301","municip3001",475
"90","municip0301","municip3002",3227
"91","municip0301","municip3003",1130
"92","municip0301","municip3004",2199
"93","municip0301","municip3005",5675
"94","municip0301","municip3006",480
"95","municip0301","municip3007",1094
"96","municip0301","municip3011",141
"97","municip0301","municip3012",13
"98","municip0301","municip3013",93
"99","municip0301","municip3014",3210
"100","municip0301","municip3015",176
"101","municip0301","municip3016",169
"102","municip0301","municip3017",312
"103","municip0301","municip3018",267
"104","municip0301","municip3019",2341
"105","municip0301","municip3020",12953
"106","municip0301","municip3021",3065
"107","municip0301","municip3022",2402
"108","municip0301","municip3023",4143
"109","municip0301","municip3024",26610
"110","municip0301","municip3025",12573
"111","municip0301","municip3026",1461
"112","municip0301","municip3027",3513
