"","location_code","S","E","I","Ia","R"
"1","municip0301",59765,0,10,0,606984
"2","municip1101",1027,0,0,0,13872
"3","municip1103",8868,0,0,0,131988
"4","municip1106",1557,0,0,0,35609
"5","municip1108",3058,0,0,0,73684
"6","municip1111",252,0,0,0,3064
"7","municip1112",365,0,0,0,2894
"8","municip1114",214,0,0,0,2612
"9","municip1119",819,0,0,0,17981
"10","municip1120",735,0,0,0,18307
"11","municip1121",505,0,0,0,18151
"12","municip1122",1015,0,0,0,10887
"13","municip1124",2044,0,0,0,23972
"14","municip1127",1275,0,0,0,9598
"15","municip1130",756,0,0,0,11906
"16","municip1133",245,0,0,0,2463
"17","municip1134",92,0,0,0,3761
"18","municip1135",225,0,0,0,4535
"19","municip1144",40,0,0,0,494
"20","municip1145",65,0,0,0,790
"21","municip1146",375,0,0,0,10666
"22","municip1149",1342,0,0,0,40887
"23","municip1151",15,0,0,0,186
"24","municip1160",1014,0,0,0,7814
"25","municip1505",1162,0,0,0,23280
"26","municip1506",1492,0,0,0,30378
"27","municip1507",3358,0,0,0,61362
"28","municip1511",187,0,0,0,3016
"29","municip1514",219,0,0,0,2321
"30","municip1515",643,0,0,0,8314
"31","municip1516",790,0,0,0,7667
"32","municip1517",473,0,0,0,4712
"33","municip1520",529,0,0,0,10215
"34","municip1525",370,0,0,0,4253
"35","municip1528",290,0,0,0,7405
"36","municip1531",420,0,0,0,8587
"37","municip1532",131,0,0,0,8045
"38","municip1535",694,0,0,0,5883
"39","municip1539",579,0,0,0,6924
"40","municip1547",521,0,0,0,3026
"41","municip1554",411,0,0,0,5445
"42","municip1557",251,0,0,0,2360
"43","municip1560",349,0,0,0,2760
"44","municip1563",973,0,0,0,6153
"45","municip1566",173,0,0,0,5813
"46","municip1573",228,0,0,0,1932
"47","municip1576",396,0,0,0,3194
"48","municip1577",801,0,0,0,9499
"49","municip1578",122,0,0,0,2546
"50","municip1579",1010,0,0,0,12185
"51","municip1804",3042,0,0,0,47980
"52","municip1806",2211,0,0,0,21059
"53","municip1811",112,0,0,0,1361
"54","municip1812",193,0,0,0,1854
"55","municip1813",644,0,0,0,7312
"56","municip1815",106,0,0,0,1128
"57","municip1816",75,0,0,0,453
"58","municip1818",210,0,0,0,1578
"59","municip1820",256,0,0,0,7172
"60","municip1822",343,0,0,0,1935
"61","municip1824",679,0,0,0,12786
"62","municip1825",111,0,0,0,1358
"63","municip1826",49,0,0,0,1365
"64","municip1827",138,0,0,0,1272
"65","municip1828",301,0,0,0,1536
"66","municip1832",532,0,0,0,3992
"67","municip1833",1982,0,0,0,24119
"68","municip1834",67,0,0,0,1853
"69","municip1835",50,0,0,0,415
"70","municip1836",120,0,0,0,1147
"71","municip1837",233,0,0,0,6202
"72","municip1838",337,0,0,0,1687
"73","municip1839",93,0,0,0,950
"74","municip1840",492,0,0,0,4210
"75","municip1841",853,0,0,0,8876
"76","municip1845",222,0,0,0,1736
"77","municip1848",285,0,0,0,2258
"78","municip1851",322,0,0,0,1812
"79","municip1853",140,0,0,0,1262
"80","municip1856",47,0,0,0,488
"81","municip1857",56,0,0,0,688
"82","municip1859",119,0,0,0,1230
"83","municip1860",921,0,0,0,10373
"84","municip1865",1257,0,0,0,8187
"85","municip1866",909,0,0,0,7100
"86","municip1867",237,0,0,0,2387
"87","municip1868",184,0,0,0,4396
"88","municip1870",757,0,0,0,9621
"89","municip1871",604,0,0,0,4304
"90","municip1874",91,0,0,0,982
"91","municip1875",359,0,0,0,3411
"92","municip3001",1930,0,0,0,28860
"93","municip3002",3410,0,0,0,44744
"94","municip3003",3510,0,0,0,51617
"95","municip3004",6983,0,0,0,73138
"96","municip3005",6887,0,0,0,92847
"97","municip3006",1475,0,0,0,25741
"98","municip3007",3237,0,0,0,26797
"99","municip3011",438,0,0,0,4079
"100","municip3012",71,0,0,0,1327
"101","municip3013",88,0,0,0,3509
"102","municip3014",3693,0,0,0,40122
"103","municip3015",287,0,0,0,3496
"104","municip3016",271,0,0,0,7902
"105","municip3017",544,0,0,0,6854
"106","municip3018",319,0,0,0,5016
"107","municip3019",1348,0,0,0,15840
"108","municip3020",3384,0,0,0,54302
"109","municip3021",1403,0,0,0,17885
"110","municip3022",1227,0,0,0,14516
"111","municip3023",2320,0,0,0,16549
"112","municip3024",9110,0,0,0,114898
"113","municip3025",7372,0,0,0,84802
"114","municip3026",995,0,0,0,15852
"115","municip3027",1006,0,0,0,16724
"116","municip3028",666,0,0,0,10261
"117","municip3029",2943,0,0,0,34463
"118","municip3030",4355,0,0,0,78141
"119","municip3031",732,0,0,0,22481
"120","municip3032",302,0,0,0,6244
"121","municip3033",3560,0,0,0,31542
"122","municip3034",1948,0,0,0,19293
"123","municip3035",2154,0,0,0,22261
"124","municip3036",597,0,0,0,12060
"125","municip3037",445,0,0,0,2465
"126","municip3038",552,0,0,0,6220
"127","municip3039",82,0,0,0,999
"128","municip3040",100,0,0,0,3257
"129","municip3041",547,0,0,0,4065
"130","municip3042",246,0,0,0,2196
"131","municip3043",235,0,0,0,4484
"132","municip3044",366,0,0,0,4169
"133","municip3045",379,0,0,0,3123
"134","municip3046",154,0,0,0,2103
"135","municip3047",1422,0,0,0,12364
"136","municip3048",1800,0,0,0,16762
"137","municip3049",2433,0,0,0,23307
"138","municip3050",317,0,0,0,2379
"139","municip3051",81,0,0,0,1318
"140","municip3052",216,0,0,0,2314
"141","municip3053",543,0,0,0,6153
"142","municip3054",1024,0,0,0,8056
"143","municip3401",1980,0,0,0,15877
"144","municip3403",2096,0,0,0,28502
"145","municip3405",1215,0,0,0,26566
"146","municip3407",2353,0,0,0,27966
"147","municip3411",3309,0,0,0,30533
"148","municip3412",582,0,0,0,7051
"149","municip3413",1797,0,0,0,18520
"150","municip3414",293,0,0,0,4807
"151","municip3415",611,0,0,0,7255
"152","municip3416",457,0,0,0,5670
"153","municip3417",392,0,0,0,4385
"154","municip3418",602,0,0,0,6727
"155","municip3419",420,0,0,0,3323
"156","municip3420",1422,0,0,0,19664
"157","municip3421",267,0,0,0,6283
"158","municip3422",341,0,0,0,4177
"159","municip3423",60,0,0,0,2470
"160","municip3424",152,0,0,0,1706
"161","municip3425",215,0,0,0,1059
"162","municip3426",234,0,0,0,1386
"163","municip3427",336,0,0,0,5248
"164","municip3428",215,0,0,0,2226
"165","municip3429",104,0,0,0,1473
"166","municip3430",251,0,0,0,1712
"167","municip3431",138,0,0,0,2537
"168","municip3432",95,0,0,0,1953
"169","municip3433",199,0,0,0,2003
"170","municip3434",189,0,0,0,2171
"171","municip3435",291,0,0,0,3349
"172","municip3436",238,0,0,0,5485
"173","municip3437",331,0,0,0,5585
"174","municip3438",240,0,0,0,2923
"175","municip3439",498,0,0,0,4004
"176","municip3440",1109,0,0,0,3973
"177","municip3441",356,0,0,0,5848
"178","municip3442",1305,0,0,0,13582
"179","municip3443",1186,0,0,0,11993
"180","municip3446",856,0,0,0,12851
"181","municip3447",325,0,0,0,5392
"182","municip3448",566,0,0,0,6207
"183","municip3449",353,0,0,0,2673
"184","municip3450",102,0,0,0,1249
"185","municip3451",701,0,0,0,5789
"186","municip3452",121,0,0,0,1993
"187","municip3453",180,0,0,0,3068
"188","municip3454",126,0,0,0,1470
"189","municip3801",2736,0,0,0,24466
"190","municip3802",1796,0,0,0,21737
"191","municip3803",5741,0,0,0,48667
"192","municip3804",6782,0,0,0,55237
"193","municip3805",3973,0,0,0,42584
"194","municip3806",3307,0,0,0,32891
"195","municip3807",4942,0,0,0,49374
"196","municip3808",752,0,0,0,12005
"197","municip3811",2954,0,0,0,23722
"198","municip3812",115,0,0,0,2242
"199","municip3813",1047,0,0,0,13091
"200","municip3814",651,0,0,0,9935
"201","municip3815",631,0,0,0,3517
"202","municip3816",442,0,0,0,6143
"203","municip3817",1172,0,0,0,9393
"204","municip3818",281,0,0,0,5613
"205","municip3819",134,0,0,0,1459
"206","municip3820",177,0,0,0,2802
"207","municip3821",185,0,0,0,2257
"208","municip3822",97,0,0,0,1379
"209","municip3823",100,0,0,0,1219
"210","municip3824",179,0,0,0,2049
"211","municip3825",358,0,0,0,3368
"212","municip4201",784,0,0,0,6152
"213","municip4202",2106,0,0,0,20586
"214","municip4203",3607,0,0,0,40969
"215","municip4204",9775,0,0,0,97382
"216","municip4205",2390,0,0,0,20469
"217","municip4206",1313,0,0,0,8456
"218","municip4207",490,0,0,0,8600
"219","municip4211",105,0,0,0,2406
"220","municip4212",220,0,0,0,1884
"221","municip4213",386,0,0,0,5665
"222","municip4214",315,0,0,0,5398
"223","municip4215",875,0,0,0,9827
"224","municip4216",396,0,0,0,4782
"225","municip4217",151,0,0,0,1705
"226","municip4218",447,0,0,0,895
"227","municip4219",300,0,0,0,3314
"228","municip4220",190,0,0,0,1010
"229","municip4221",82,0,0,0,1164
"230","municip4222",43,0,0,0,909
"231","municip4223",536,0,0,0,13889
"232","municip4224",68,0,0,0,869
"233","municip4225",1000,0,0,0,9353
"234","municip4226",122,0,0,0,1580
"235","municip4227",614,0,0,0,5374
"236","municip4228",437,0,0,0,1399
"237","municip4601",14111,0,0,0,264445
"238","municip4602",1080,0,0,0,16950
"239","municip4611",366,0,0,0,3769
"240","municip4612",262,0,0,0,5394
"241","municip4613",1887,0,0,0,9919
"242","municip4614",1835,0,0,0,16986
"243","municip4615",365,0,0,0,2824
"244","municip4616",285,0,0,0,2562
"245","municip4617",1083,0,0,0,12158
"246","municip4618",519,0,0,0,10991
"247","municip4619",70,0,0,0,851
"248","municip4620",113,0,0,0,1018
"249","municip4621",887,0,0,0,14560
"250","municip4622",444,0,0,0,7979
"251","municip4623",191,0,0,0,2297
"252","municip4624",1280,0,0,0,22767
"253","municip4625",222,0,0,0,4934
"254","municip4626",2193,0,0,0,34982
"255","municip4627",1350,0,0,0,27471
"256","municip4628",406,0,0,0,3717
"257","municip4629",29,0,0,0,354
"258","municip4630",721,0,0,0,7305
"259","municip4631",1646,0,0,0,27234
"260","municip4632",420,0,0,0,2464
"261","municip4633",45,0,0,0,542
"262","municip4634",398,0,0,0,1312
"263","municip4635",110,0,0,0,2261
"264","municip4636",60,0,0,0,734
"265","municip4637",42,0,0,0,1396
"266","municip4638",334,0,0,0,3856
"267","municip4639",50,0,0,0,2672
"268","municip4640",1959,0,0,0,9602
"269","municip4641",271,0,0,0,1516
"270","municip4642",342,0,0,0,1817
"271","municip4643",238,0,0,0,5125
"272","municip4644",309,0,0,0,4842
"273","municip4645",171,0,0,0,2894
"274","municip4646",1023,0,0,0,1839
"275","municip4647",1466,0,0,0,20406
"276","municip4648",383,0,0,0,3464
"277","municip4649",701,0,0,0,8154
"278","municip4650",272,0,0,0,5511
"279","municip4651",653,0,0,0,6565
"280","municip5001",9283,0,0,0,187231
"281","municip5006",2848,0,0,0,21639
"282","municip5007",1304,0,0,0,13968
"283","municip5014",204,0,0,0,4733
"284","municip5020",74,0,0,0,904
"285","municip5021",565,0,0,0,6408
"286","municip5022",231,0,0,0,2325
"287","municip5025",494,0,0,0,5129
"288","municip5026",189,0,0,0,1857
"289","municip5027",152,0,0,0,6167
"290","municip5028",1027,0,0,0,15186
"291","municip5029",480,0,0,0,7520
"292","municip5031",909,0,0,0,12911
"293","municip5032",427,0,0,0,3671
"294","municip5033",65,0,0,0,796
"295","municip5034",521,0,0,0,1987
"296","municip5035",1315,0,0,0,22310
"297","municip5036",147,0,0,0,2483
"298","municip5037",883,0,0,0,19009
"299","municip5038",900,0,0,0,13949
"300","municip5041",156,0,0,0,2003
"301","municip5042",105,0,0,0,1284
"302","municip5043",36,0,0,0,433
"303","municip5044",100,0,0,0,772
"304","municip5045",500,0,0,0,1967
"305","municip5046",54,0,0,0,1210
"306","municip5047",456,0,0,0,3384
"307","municip5049",68,0,0,0,1022
"308","municip5052",44,0,0,0,540
"309","municip5053",333,0,0,0,6467
"310","municip5054",848,0,0,0,9260
"311","municip5055",436,0,0,0,6404
"312","municip5056",991,0,0,0,4650
"313","municip5057",835,0,0,0,9278
"314","municip5058",256,0,0,0,3966
"315","municip5059",935,0,0,0,17609
"316","municip5060",1086,0,0,0,8470
"317","municip5061",154,0,0,0,1872
"318","municip5401",4519,0,0,0,70022
"319","municip5402",2193,0,0,0,22652
"320","municip5403",2065,0,0,0,18381
"321","municip5404",258,0,0,0,1846
"322","municip5405",834,0,0,0,5320
"323","municip5406",1822,0,0,0,9732
"324","municip5411",800,0,0,0,2186
"325","municip5412",740,0,0,0,3560
"326","municip5413",191,0,0,0,1203
"327","municip5414",85,0,0,0,1036
"328","municip5415",82,0,0,0,994
"329","municip5416",167,0,0,0,3827
"330","municip5417",239,0,0,0,1981
"331","municip5418",256,0,0,0,6525
"332","municip5419",157,0,0,0,3339
"333","municip5420",144,0,0,0,994
"334","municip5421",2550,0,0,0,12522
"335","municip5422",440,0,0,0,5245
"336","municip5423",480,0,0,0,1793
"337","municip5424",158,0,0,0,2718
"338","municip5425",444,0,0,0,1446
"339","municip5426",99,0,0,0,2033
"340","municip5427",140,0,0,0,2772
