"","location_code","S","E","I","Ia","R"
"1","municip0301",666759,0,0,0,0
"2","municip1101",14899,0,0,0,0
"3","municip1103",140856,0,0,0,0
"4","municip1106",37166,0,0,0,0
"5","municip1108",76742,0,0,0,0
"6","municip1111",3316,0,0,0,0
"7","municip1112",3259,0,0,0,0
"8","municip1114",2826,0,0,0,0
"9","municip1119",18800,0,0,0,0
"10","municip1120",19042,0,0,0,0
"11","municip1121",18656,0,0,0,0
"12","municip1122",11902,0,0,0,0
"13","municip1124",26016,0,0,0,0
"14","municip1127",10873,0,0,0,0
"15","municip1130",12662,0,0,0,0
"16","municip1133",2708,0,0,0,0
"17","municip1134",3853,0,0,0,0
"18","municip1135",4760,0,0,0,0
"19","municip1144",534,0,0,0,0
"20","municip1145",855,0,0,0,0
"21","municip1146",11041,0,0,0,0
"22","municip1149",42229,0,0,0,0
"23","municip1151",201,0,0,0,0
"24","municip1160",8828,0,0,0,0
"25","municip1505",24442,0,0,0,0
"26","municip1506",31870,0,0,0,0
"27","municip1507",64720,0,0,0,0
"28","municip1511",3203,0,0,0,0
"29","municip1514",2540,0,0,0,0
"30","municip1515",8957,0,0,0,0
"31","municip1516",8457,0,0,0,0
"32","municip1517",5185,0,0,0,0
"33","municip1520",10744,0,0,0,0
"34","municip1525",4623,0,0,0,0
"35","municip1528",7695,0,0,0,0
"36","municip1531",9007,0,0,0,0
"37","municip1532",8176,0,0,0,0
"38","municip1535",6577,0,0,0,0
"39","municip1539",7503,0,0,0,0
"40","municip1547",3547,0,0,0,0
"41","municip1554",5856,0,0,0,0
"42","municip1557",2611,0,0,0,0
"43","municip1560",3109,0,0,0,0
"44","municip1563",7126,0,0,0,0
"45","municip1566",5986,0,0,0,0
"46","municip1573",2160,0,0,0,0
"47","municip1576",3590,0,0,0,0
"48","municip1577",10300,0,0,0,0
"49","municip1578",2668,0,0,0,0
"50","municip1579",13195,0,0,0,0
"51","municip1804",51022,0,0,0,0
"52","municip1806",23270,0,0,0,0
"53","municip1811",1473,0,0,0,0
"54","municip1812",2047,0,0,0,0
"55","municip1813",7956,0,0,0,0
"56","municip1815",1234,0,0,0,0
"57","municip1816",528,0,0,0,0
"58","municip1818",1788,0,0,0,0
"59","municip1820",7428,0,0,0,0
"60","municip1822",2278,0,0,0,0
"61","municip1824",13465,0,0,0,0
"62","municip1825",1469,0,0,0,0
"63","municip1826",1414,0,0,0,0
"64","municip1827",1410,0,0,0,0
"65","municip1828",1837,0,0,0,0
"66","municip1832",4524,0,0,0,0
"67","municip1833",26101,0,0,0,0
"68","municip1834",1920,0,0,0,0
"69","municip1835",465,0,0,0,0
"70","municip1836",1267,0,0,0,0
"71","municip1837",6435,0,0,0,0
"72","municip1838",2024,0,0,0,0
"73","municip1839",1043,0,0,0,0
"74","municip1840",4702,0,0,0,0
"75","municip1841",9729,0,0,0,0
"76","municip1845",1958,0,0,0,0
"77","municip1848",2543,0,0,0,0
"78","municip1851",2134,0,0,0,0
"79","municip1853",1402,0,0,0,0
"80","municip1856",535,0,0,0,0
"81","municip1857",744,0,0,0,0
"82","municip1859",1349,0,0,0,0
"83","municip1860",11294,0,0,0,0
"84","municip1865",9444,0,0,0,0
"85","municip1866",8009,0,0,0,0
"86","municip1867",2624,0,0,0,0
"87","municip1868",4580,0,0,0,0
"88","municip1870",10378,0,0,0,0
"89","municip1871",4908,0,0,0,0
"90","municip1874",1073,0,0,0,0
"91","municip1875",3770,0,0,0,0
"92","municip3001",30790,0,0,0,0
"93","municip3002",48154,0,0,0,0
"94","municip3003",55127,0,0,0,0
"95","municip3004",80121,0,0,0,0
"96","municip3005",99734,0,0,0,0
"97","municip3006",27216,0,0,0,0
"98","municip3007",30034,0,0,0,0
"99","municip3011",4517,0,0,0,0
"100","municip3012",1398,0,0,0,0
"101","municip3013",3597,0,0,0,0
"102","municip3014",43815,0,0,0,0
"103","municip3015",3783,0,0,0,0
"104","municip3016",8173,0,0,0,0
"105","municip3017",7398,0,0,0,0
"106","municip3018",5335,0,0,0,0
"107","municip3019",17188,0,0,0,0
"108","municip3020",57686,0,0,0,0
"109","municip3021",19288,0,0,0,0
"110","municip3022",15743,0,0,0,0
"111","municip3023",18869,0,0,0,0
"112","municip3024",124008,0,0,0,0
"113","municip3025",92174,0,0,0,0
"114","municip3026",16847,0,0,0,0
"115","municip3027",17730,0,0,0,0
"116","municip3028",10927,0,0,0,0
"117","municip3029",37406,0,0,0,0
